Field,Type,Collation,Null,Key,Comment
LUM _ ID,int(11),,NO,PRI,WALIS LUM ID
Public,varchar(45),utf8 _ general _ ci,YES,,Is this datapoint public?
Lum _ Method,tinytext,utf8 _ general _ ci,YES,,Luminescence method
IGSN,varchar(45),utf8 _ general _ ci,YES,,IGSN
lum _ ref,longtext,utf8 _ general _ ci,YES,,Reference (s)
Sample _ ID,varchar(45),utf8 _ general _ ci,YES,,Sample ID
AnalysisID,varchar(45),utf8 _ general _ ci,YES,,Analysis ID
ReportedID,varchar(45),utf8 _ general _ ci,YES,,Reported ID
Lab _ name,mediumtext,utf8 _ general _ ci,YES,,Laboratory name
Mineral _ type,varchar(45),utf8 _ general _ ci,YES,,Mineral type
Grain _ size,varchar(45),utf8 _ general _ ci,YES,,Grain size
AnalysisDate,datetime,,YES,,Date of analysis
Accepted,varchar(45),utf8 _ general _ ci,YES,,Accepted?
Reas _ rej,longtext,utf8 _ general _ ci,YES,,Reason for rejection
Reported _ Latitude,varchar(45),utf8 _ general _ ci,YES,,Reported Latitude
Reported _ Longitude,varchar(45),utf8 _ general _ ci,YES,,Reported Longitude
Sample _ lat,varchar(45),utf8 _ general _ ci,YES,,Sample latitude (decimal degrees)
Sample _ lon,varchar(45),utf8 _ general _ ci,YES,,Sample longitude (decimal degrees)
Lat _ Lon _ Est,varchar(45),utf8 _ general _ ci,YES,,Are Lat/Long estimated?
Original _ datum,varchar(45),utf8 _ general _ ci,YES,,Original elevation datum used
Elev _ meas _ method,varchar(45),utf8 _ general _ ci,YES,,Elevation measurement method
Sample _ elev,varchar(45),utf8 _ general _ ci,YES,,Reported elevation (m)
Sample _ elev _ unc,varchar(45),utf8 _ general _ ci,YES,,Reported elevation uncertainty (m)
Elev _ MSL,varchar(45),utf8 _ general _ ci,YES,,Elevation above MSL (m)
Elev _ MSL _ unc,varchar(45),utf8 _ general _ ci,YES,,Elevation uncertainty used (m)
Elev _ comments,longtext,utf8 _ general _ ci,YES,,Comments on elevation
MISchoice _ limit,varchar(45),utf8 _ general _ ci,YES,,Age is Older/Equal/Younger than
