Field,Type,Collation,Null,Key,Comment
RSL _ ID,int(11),,NO,,
Latitude,"decimal(10,6)",,NO,,
Longitude,"decimal(10,6)",,NO,,
Site,varchar(40),utf8 _ general _ ci,NO,,
Subsite,varchar(100),utf8 _ general _ ci,YES,,
Nation,int(11),,NO,,
Region,int(11),,NO,,
Type of datapoint,varchar(45),utf8 _ general _ ci,NO,,
RSL Indicator,int(11),,YES,,
RSL indicator description,longtext,utf8 _ general _ ci,YES,,
Elevation measurement technique,int(11),,NO,,
Elevation (m),"decimal(10,2)",,YES,,
Elevation error (m),"decimal(10,2)",,YES,,
RWL,"decimal(10,2)",,YES,,
IR,"decimal(10,2)",,YES,,
Vertical datum,int(11),,NO,,
Paleo RSL (m),"decimal(10,2)",,YES,,
Paleo RSL uncertainty (m),"decimal(10,2)",,YES,,
Dating technique,varchar(24),utf8mb4 _ general _ ci,NO,,
Timing constraint,varchar(45),utf8 _ general _ ci,YES,,
Originally reported ID,varchar(100),utf8 _ general _ ci,YES,,
Analysis ID,varchar(100),utf8 _ general _ ci,YES,,
Material _ type,longtext,utf8 _ general _ ci,YES,,
Reported age (ka),varchar(45),utf8 _ general _ ci,YES,,
Reported age uncertainty (ka),varchar(45),utf8 _ general _ ci,YES,,
U-Series recalculated age (ka),varchar(45),utf8 _ general _ ci,YES,,
U-Series recalculate age uncertainty (ka),varchar(45),utf8 _ general _ ci,YES,,
"U-Series corrected age (speleothems, ka)",varchar(45),utf8 _ general _ ci,YES,,
"U-Series corrected age uncertainty (speleothems, ka)",varchar(45),utf8 _ general _ ci,YES,,
Stratigraphy Upper Age (ka),varchar(11),utf8mb4 _ general _ ci,YES,,
Stratigraphy Lower Age (ka),varchar(11),utf8mb4 _ general _ ci,YES,,
MIS limit,varchar(45),utf8 _ general _ ci,YES,,
Marine Isotopic Stage,varchar(45),utf8 _ general _ ci,YES,,
Quality of RSL information,int(11),,NO,,
Quality of age information,int(11),,NO,,
Reference(s),mediumtext,utf8 _ general _ ci,YES,,
Record Created by,varchar(45),utf8 _ general _ ci,YES,,
Last Update,datetime,,YES,,
