Field,Type,Collation,Null,Key,Comment
ID AAR,int(11),,NO,PRI,WALIS AAR ID
Public,varchar(45),utf8 _ general _ ci,YES,,Is this datapoint public?
AARRef,mediumtext,utf8 _ general _ ci,YES,,Reference(s)
IGSN,varchar(45),utf8 _ general _ ci,YES,,IGSN
SampleID,varchar(100),utf8 _ general _ ci,YES,,Sample ID
AnalysisID,varchar(100),utf8 _ general _ ci,YES,,Analysis ID
ReportedID,varchar(100),utf8 _ general _ ci,YES,,Reported ID
Analysis _ Date,datetime,,YES,,Date of analysis
Laboratory name,mediumtext,utf8 _ general _ ci,YES,,Laboratory name
SampleType,longtext,utf8 _ general _ ci,YES,,Sample Type
Taxonomy,longtext,utf8 _ general _ ci,YES,,Taxonomy
SamplePos,longtext,utf8 _ general _ ci,YES,,Sample position
WRock,int(11),,YES,,Whole-Rock?
WRsize,varchar(45),utf8 _ general _ ci,YES,,Grain Size (micrometersm)
WRcarb,varchar(45),utf8 _ general _ ci,YES,,Carbonate (%)
WRfract,varchar(45),utf8 _ general _ ci,YES,,Fraction (micrometersm)
SampleQualNotes,longtext,utf8 _ general _ ci,YES,,Notes and comments on sample quality
CollectionContext,longtext,utf8 _ general _ ci,YES,,Collection Context
DoB,varchar(45),utf8 _ general _ ci,YES,,Depth of burial (m)
Accepted,varchar(45),utf8 _ general _ ci,YES,,Accepted?
ReasRej,longtext,utf8 _ general _ ci,YES,,Reason for rejection
Reported _ Latitude,varchar(45),utf8 _ general _ ci,YES,,Reported Latitude
Reported _ Longitude,varchar(45),utf8 _ general _ ci,YES,,Reported Longitude
SampleLat,varchar(45),utf8 _ general _ ci,YES,,Latitude (decimal degrees)
SampleLon,varchar(45),utf8 _ general _ ci,YES,,Longitude (decimal degrees)
Lat _ Lon _ Est,varchar(45),utf8 _ general _ ci,YES,,Are Lat/Long estimated?
Original _ datum,varchar(45),utf8 _ general _ ci,YES,,Original elevation datum used
Elev _ meas _ method,varchar(45),utf8 _ general _ ci,YES,,Elevation measurement method
Reported _ Elev,varchar(45),utf8 _ general _ ci,YES,,Reported elevation (m)
Reported _ Elev _ Unc,varchar(45),utf8 _ general _ ci,YES,,Reported elevation uncertainty (m)
Elev _ MSL,varchar(45),utf8 _ general _ ci,YES,,Elevation above MSL (m)
Elev _ MSL _ unc,varchar(45),utf8 _ general _ ci,YES,,Elevation uncertainty used (m)
Elev _ comments,longtext,utf8 _ general _ ci,YES,,Elevation comments
MISchoice _ limit,varchar(45),utf8 _ general _ ci,YES,,Age is Older/Equal/Younger than
MISchoice,varchar(45),utf8 _ general _ ci,YES,,Marine Isotopic Stage
MIS,longtext,utf8 _ general _ ci,YES,,Comments/details on MIS designation
ReportedAge,varchar(45),utf8 _ general _ ci,YES,,Reported age (ka)
ReportedAgeUnc,varchar(45),utf8 _ general _ ci,YES,,Reported age uncertainty (±2sigma) (ka)
CMAT,varchar(45),utf8 _ general _ ci,YES,,Current Annual Mean Temperature (°C)
PrepProc,longtext,utf8 _ general _ ci,YES,,Preparation procedure
ChromMethod,longtext,utf8 _ general _ ci,YES,,Method of chromatography
StatPhaseCol,longtext,utf8 _ general _ ci,YES,,Stationary phase of the column
ReplNsamples,varchar(45),utf8 _ general _ ci,YES,,Number of replicates (samples)
ReplNinj,varchar(45),utf8 _ general _ ci,YES,,Number of sample replicates (injections)
RatioType,mediumtext,utf8 _ general _ ci,YES,,Ratio type
PyrolysisAvail,mediumtext,utf8 _ general _ ci,YES,,Pyrolysis experiment available
LevUnc,varchar(45),utf8 _ general _ ci,YES,,Level of uncertainty
Aspartic,varchar(45),utf8 _ general _ ci,YES,,Aspartic
Aspartic _ unc,varchar(45),utf8 _ general _ ci,YES,,Aspartic uncertainty
Glutamic,varchar(45),utf8 _ general _ ci,YES,,Glutamic
Glutamic _ unc,varchar(45),utf8 _ general _ ci,YES,,Glutamic uncertainty
Serine,varchar(45),utf8 _ general _ ci,YES,,Serine
Serine _ unc,varchar(45),utf8 _ general _ ci,YES,,Serine uncertainty
Alanine,varchar(45),utf8 _ general _ ci,YES,,Alanine
Alanine _ unc,varchar(45),utf8 _ general _ ci,YES,,Alanine uncertainty
Valine,varchar(45),utf8 _ general _ ci,YES,,Valine
Valine _ unc,varchar(45),utf8 _ general _ ci,YES,,Valine uncertainty
A _ I,varchar(45),utf8 _ general _ ci,YES,,*A/I
AI _ unc,varchar(45),utf8 _ general _ ci,YES,,*A/I uncertainty
Leucine,varchar(45),utf8 _ general _ ci,YES,,Leucine
Leucine _ unc,varchar(45),utf8 _ general _ ci,YES,,Leucine uncertainty
Notes,longtext,utf8 _ general _ ci,YES,,Notes/Comments
ShowIndep,varchar(45),utf8 _ general _ ci,YES,,Independent age constraints available?
Showblock,varchar(45),utf8 _ general _ ci,YES,,Calibration data available?
freeAAR,varchar(45),utf8 _ general _ ci,YES,,Are free AAR ratios available?
LevUnc _ FAA,varchar(45),utf8 _ general _ ci,YES,,Level of uncertainty free AAR
Aspartic _ FAA,varchar(45),utf8 _ general _ ci,YES,,Aspartic (free AAR)
Aspartic _ unc _ FAA,varchar(45),utf8 _ general _ ci,YES,,Aspartic uncertainty (free AAR)
Glutamic _ FAA,varchar(45),utf8 _ general _ ci,YES,,Glutamic (free AAR)
Glutamic _ unc _ FAA,varchar(45),utf8 _ general _ ci,YES,,Glutamic uncertainty (free AAR)
Serine _ FAA,varchar(45),utf8 _ general _ ci,YES,,Serine (free AAR)
Serine _ unc _ FAA,varchar(45),utf8 _ general _ ci,YES,,Serine uncertainty (free AAR)
Alanine _ FAA,varchar(45),utf8 _ general _ ci,YES,,Alanine (free AAR)
Alanine _ unc _ FAA,varchar(45),utf8 _ general _ ci,YES,,Alanine uncertainty (free AAR)
Valine _ FAA,varchar(45),utf8 _ general _ ci,YES,,Valine (free AAR)
Valine _ unc _ FAA,varchar(45),utf8 _ general _ ci,YES,,Valine uncertainty (free AAR)
A _ I _ FAA,varchar(45),utf8 _ general _ ci,YES,,*A/I (free AAR)
AI _ unc _ FAA,varchar(45),utf8 _ general _ ci,YES,,*A/I uncertainty (free AAR)
Leucine _ FAA,varchar(45),utf8 _ general _ ci,YES,,Leucine (free AAR)
Leucine _ unc _ FAA,varchar(45),utf8 _ general _ ci,YES,,Leucine uncertainty (free AAR)
Notes _ FAA,longtext,utf8 _ general _ ci,YES,,Notes/Comments free AAR
CalibMethod,longtext,utf8 _ general _ ci,YES,,Calibration method
AARequation,mediumtext,utf8 _ general _ ci,YES,,Amino Acid age equation
CalibLab,mediumtext,utf8 _ general _ ci,YES,,Calibration laboratory
CalibLabID,mediumtext,utf8 _ general _ ci,YES,,Calibration laboratory ID
CalibRef,mediumtext,utf8 _ general _ ci,YES,,Calibration reference
CalibDLvalue,varchar(45),utf8 _ general _ ci,YES,,Calibration D/L value
CalibDLvalue _ unc,varchar(45),utf8 _ general _ ci,YES,,Calibration D/L value uncertainty (±1sigma)
