Field,Type,Collation,Null,Key,Comment
ESR _ ID,int(11),,NO,PRI,WALIS ESR ID
Public,varchar(45),utf8 _ general _ ci,YES,,Is this datapoint public?
ESR _ Method,tinytext,utf8 _ general _ ci,YES,,Method
IGSN,varchar(45),utf8 _ general _ ci,YES,,IGSN
Refs,longtext,utf8 _ general _ ci,YES,,Reference(s)
Sample _ ID,varchar(45),utf8 _ general _ ci,YES,,Sample ID
AnalysisID,varchar(45),utf8 _ general _ ci,YES,,Analysis ID
ReportedID,varchar(45),utf8 _ general _ ci,YES,,Reported ID
Lab _ name,mediumtext,utf8 _ general _ ci,YES,,Laboratory name
AnalysisDate,datetime,,YES,,Date of analysis
Accepted,varchar(45),utf8 _ general _ ci,YES,,Accepted?
Reas _ rej,longtext,utf8 _ general _ ci,YES,,Reason for rejection
Reported _ Latitude,varchar(45),utf8 _ general _ ci,YES,,Reported Latitude
Reported _ Longitude,varchar(45),utf8 _ general _ ci,YES,,Reported Longitude
SampleLat,varchar(45),utf8 _ general _ ci,YES,,Latitude (decimal degrees)
SampleLon,varchar(45),utf8 _ general _ ci,YES,,Longitude (decimal degrees)
Lat _ Lon _ Est,varchar(45),utf8 _ general _ ci,YES,,Are Lat/Long estimated?
Original _ datum,varchar(45),utf8 _ general _ ci,YES,,Original elevation datum used
Elev _ meas _ method,varchar(45),utf8 _ general _ ci,YES,,Elevation measurement method
Reported _ Elev,varchar(45),utf8 _ general _ ci,YES,,Reported elevation (m)
Reported _ Elev _ Unc,varchar(45),utf8 _ general _ ci,YES,,Reported elevation uncertainty (m)
Elev _ MSL,varchar(45),utf8 _ general _ ci,YES,,Elevation above MSL (m)
Elev _ MSL _ unc,varchar(45),utf8 _ general _ ci,YES,,Elevation uncertainty used (m)
Elev _ comments,longtext,utf8 _ general _ ci,YES,,Elevation comments
MISchoice _ limit,varchar(45),utf8 _ general _ ci,YES,,Age is Older/Younger/Equal to
MISchoice,varchar(45),utf8 _ general _ ci,YES,,Marine Isotopic Stage
Reported _ MIS,longtext,utf8 _ general _ ci,YES,,Comments/details on MIS designation or age
Final _ age,varchar(45),utf8 _ general _ ci,YES,,Age (ka)
Final _ age _ unc,varchar(45),utf8 _ general _ ci,YES,,Age uncertainty (ka)
Mineral _ type,varchar(45),utf8 _ general _ ci,YES,,Mineral type
Grain _ size,varchar(45),utf8 _ general _ ci,YES,,Grain size (µm)
Aliquot size,varchar(45),utf8 _ general _ ci,YES,,Aliquot size (mg)
Meas _ protocol,longtext,utf8 _ general _ ci,YES,,Measurement protocol
