Field,Type,Collation,Null,Key,Comment
RSL _ ID,int(11),,NO,PRI,WALIS RSL ID
Public,int(11),,NO,,Is this datapoint public?
Site,varchar(40),utf8 _ general _ ci,NO,,Site
AddLocInfo,varchar(100),utf8 _ general _ ci,YES,,Subsite
Nation,int(11),,NO,,Nation
Region,int(11),,NO,,Region
Ref,varchar(255),utf8 _ general _ ci,NO,MUL,Main reference
addRef,varchar(45),utf8 _ general _ ci,YES,,Additional references
RSLlat,"decimal(10,6)",,NO,,Latitude (decimal degrees)
RSLlon,"decimal(10,6)",,NO,,Longitude (decimal degrees)
HrzPosTech,int(11),,YES,MUL,Horizontal Positioning Technique
Limiting,varchar(45),utf8 _ general _ ci,NO,,Is this a marine/terrestrial limiting record?
Indicator,int(11),,YES,MUL,Type of RSL Indicator
Ind _ descr _ det,longtext,utf8 _ general _ ci,YES,,Indicator description
ULmodAn,"decimal(10,2)",,YES,,Upper limit of modern analog (m)
LLmodAn,"decimal(10,2)",,YES,,Lower limit of modern analog (m)
Quant _ ind _ mean,varchar(45),utf8 _ general _ ci,YES,,Quantification of indicative meaning
SLdatum,int(11),,NO,,Sea level datum
VrtMeasTech,int(11),,NO,,Elevation measurement technique
Upper _ Lower _ elev,varchar(45),utf8 _ general _ ci,YES,,Do you want to insert upper and lower elevation limits?
Elev _ upper,varchar(45),utf8 _ general _ ci,YES,,Upper elevation of indicator (m)
Elev _ lower,varchar(45),utf8 _ general _ ci,YES,,Lower elevation of indicator (m)
UppLowErr,varchar(45),utf8 _ general _ ci,YES,,Upper/Lower elevation measurement error (1-sigma) (m)
RSLelev,"decimal(10,2)",,YES,,RSL indicator elevation (m)
RSLelevErr,"decimal(10,2)",,YES,,RSL indicator elevation error (m)
ElevationNotes,longtext,utf8 _ general _ ci,YES,,Notes on elevation and indicative range
RWL,"decimal(10,2)",,YES,,Reference Water Level (m)
IR,"decimal(10,2)",,YES,,Indicative Range (m)
PaleoRSL,"decimal(10,2)",,YES,,Paleo Relative Sea Level (m)
PaleoRSLunc,"decimal(10,2)",,YES,,Paleo Relative Sea Level Uncertainty (m)
ChoiceVLM,varchar(45),utf8 _ general _ ci,YES,,Is data on vertical land movements (independent from the sea level record) available?
Tect _ cat,varchar(45),utf8 _ general _ ci,YES,,Tectonic category
tect _ cat _ comments,longtext,utf8 _ general _ ci,YES,,Comments on tectonic category
Publ _ VLM,varchar(45),utf8 _ general _ ci,YES,,Published VLM rate (m/ky)
Publ _ VLM _ unc,varchar(45),utf8 _ general _ ci,YES,,Published VLM rate uncertainty (m/ky)
Interpr _ VLM,varchar(45),utf8 _ general _ ci,YES,,Interpreted VLM rate (m/ky)
Interpr _ VLM _ unc,varchar(45),utf8 _ general _ ci,YES,,Interpreted VLM rate (m/ky) uncertainty
Comments _ VLM,longtext,utf8 _ general _ ci,YES,,Comments on VLM rates
SelectAge,varchar(45),utf8 _ general _ ci,NO,,Age attribution
Useries _ time,varchar(45),utf8 _ general _ ci,YES,,U-Series constraint
Useries,mediumtext,utf8 _ general _ ci,YES,,U-series age IDs
AAR _ time,varchar(45),utf8 _ general _ ci,YES,,AAR constraint
AAR,mediumtext,utf8 _ general _ ci,YES,,Amino Acid Racemization age IDs
ESR _ time,varchar(45),utf8 _ general _ ci,YES,,ESR constraint
ESR,mediumtext,utf8 _ general _ ci,YES,,Electro Spin Resonance age IDs
LUM _ time,varchar(45),utf8 _ general _ ci,YES,,Luminescence constraint
Luminescence,mediumtext,utf8 _ general _ ci,YES,,Luminescence age IDs
Strat _ time,varchar(45),utf8 _ general _ ci,YES,,Stratigraphic constraint
Stratcontext,mediumtext,utf8 _ general _ ci,YES,,Stratigraphic context/age IDs
Other _ time,varchar(45),utf8 _ general _ ci,YES,,Other age constraint
Other _ age,mediumtext,utf8 _ general _ ci,YES,,Other age constraints IDs
Qual,int(11),,NO,,Quality of RSL data
Qual _ Age,int(11),,NO,,Quality of age information
Qualnotes,longtext,utf8 _ general _ ci,YES,,Quality notes
Createdby,varchar(45),utf8 _ general _ ci,YES,,Record created by
Updatedby,varchar(45),utf8 _ general _ ci,YES,,Record updated by
LastUpdate,datetime,,YES,,Last Update
coord,point,,YES,,MySQL coordinates
