Field,Type,Collation,Null,Key,Comment
Strat _ ID,int(11),,NO,PRI,WALIS Strat ID
Public,tinytext,utf8 _ general _ ci,YES,,Is this datapoint public?
StratName,varchar(45),utf8 _ general _ ci,YES,,Chronostratigraphy ID
StratRef,mediumtext,utf8 _ general _ ci,YES,,Reference(s)
StratDescr,longtext,utf8 _ general _ ci,YES,,Description for chronostratigraphic constraint
UnitThickness,mediumtext,utf8 _ general _ ci,YES,,Unit thickness (m)
MISchoice _ limits,varchar(45),utf8 _ general _ ci,YES,,Age is Older/Equal/Younger than
MISchoice,varchar(45),utf8 _ general _ ci,YES,,Marine Isotopic Stage
MIS,longtext,utf8 _ general _ ci,YES,,Comments/details on MIS designation
UpperAge,"decimal(10,0)",,YES,,Upper Age (ka)
LowerAge,"decimal(10,0)",,YES,,Lower Age (ka)
AgeNotes,longtext,utf8 _ general _ ci,YES,,Notes on age determination
OfficialStrat,varchar(45),utf8 _ general _ ci,YES,,Is this an official stratigraphic designation?
dur _ yrs _ y _ n,varchar(45),utf8 _ general _ ci,YES,,Has duration estimated in years?
duration,varchar(45),utf8 _ general _ ci,YES,,Duration (yrs)
duration _ unc,varchar(45),utf8 _ general _ ci,YES,,Duration uncertainty (yrs)
parent _ strat _ y _ n,varchar(45),utf8 _ general _ ci,YES,,Is a subzone of a parent Chronostratigraphy entry?
parent _ link,varchar(45),utf8 _ general _ ci,YES,,Parent record (WALIS Strat ID)
Createdby,varchar(45),utf8 _ general _ ci,YES,,Record created by
Updatedby,varchar(45),utf8 _ general _ ci,YES,,Record updated by
LastUpdate,datetime,,YES,,Last Update
